treatment,topic_short_2,mu,se,lo,hi,term,xnum,star,p.value
control,A black man invented the light bulb (Lucid),31.14611872146119,1.4271247570268881,28.34895419768849,33.94328324523389,treatmentcontrol,1.5,***,2.5318295133231988e-5
control,Antifa start West Coast wildfires (Lucid),30.432857142857127,1.3094164803757975,27.866400841320566,32.99931344439369,treatmentcontrol,1.5,***,1.389581936119521e-5
control,Antifa start West Coast wildfires (Lucid),30.432857142857127,1.3094164803757975,27.866400841320566,32.99931344439369,treatmentfactcheck,2.5,***,5.2055268297496696e-8
control,SARS-CoV-2 man made virus created in the lab (Lucid),47.28913043478262,1.5310996525431217,44.288175115798104,50.29008575376714,treatmentcontrol,1.5,**,0.0014534851132123
control,SARS-CoV-2 man made virus created in the lab (Lucid),47.28913043478262,1.5310996525431217,44.288175115798104,50.29008575376714,treatmentfactcheck,2.5,***,2.610674744565886e-7
control,A black man invented the light bulb (MTurk),50.983655274888555,1.5367117236610635,47.97170029651287,53.99561025326424,treatmentcontrol,1.5,**,0.00553890030185672
control,A black man invented the light bulb (MTurk),50.983655274888555,1.5367117236610635,47.97170029651287,53.99561025326424,treatmentfactcheck,2.5,*,0.01581695149348191
control,Antifa start West Coast wildfires (MTurk),49.470454545454594,1.5830325425496545,46.36771076205727,52.573198328851916,NA,NA,NA,NA
control,SARS-CoV-2 man made virus created in the lab (MTurk),60.4447717231223,1.5148016264610566,57.47576053525863,63.41378291098597,NA,NA,NA,NA
control,Biden wears wire at debate,46.52859237536659,1.4276637214922008,43.73037148124188,49.3268132694913,treatmentfactcheck,2.5,*,0.02825693820763744
control,Trump holds Bible upside down,64.46522411128285,1.2970212409477269,61.923062479025305,67.0073857435404,treatmentcontrol,1.5,**,0.00457896003543182
control,Trump holds Bible upside down,64.46522411128285,1.2970212409477269,61.923062479025305,67.0073857435404,treatmentfactcheck,2.5,***,3.681056417101478e-26
control,Trump responsible for all Covid deaths,48.331187410586516,1.5760765991413768,45.24207727626942,51.42029754490361,treatmentfactcheck,2.5,***,4.861391094337629e-5
control,Donald Trump claimed his DNA was USA,38.566052227342546,1.4146998891391898,35.79324044462973,41.33886401005536,treatmentfactcheck,2.5,***,6.188208169256742e-6
control,Obama failed to nominate US judges,45.67668097281832,1.4020097268236158,42.92874190824403,48.42462003739261,treatmentcontrol,1.5,***,2.624605766605267e-5
control,Obama failed to nominate US judges,45.67668097281832,1.4020097268236158,42.92874190824403,48.42462003739261,treatmentfactcheck,2.5,***,5.617239863704392e-19
control,Judge Barrett made homophobic and racist statements,42.77335164835164,1.36950376993593,40.08912425927722,45.457579037426065,treatmentfactcheck,2.5,***,2.9962863353455253e-15
control,Trump chose Judge Barrett on basis of looks,35.77397260273967,1.233621326112285,33.35607480355959,38.19187040191974,treatmentcontrol,1.5,***,7.258017406535918e-8
control,Trump chose Judge Barrett on basis of looks,35.77397260273967,1.233621326112285,33.35607480355959,38.19187040191974,treatmentfactcheck,2.5,***,1.363251141953826e-33
control,WHO: children to be vaccinated without parents' consent,39.82142857142854,1.1629906579151976,37.54196688191475,42.10089026094233,treatmentcontrol,1.5,***,2.302724932740632e-4
control,WHO: children to be vaccinated without parents' consent,39.82142857142854,1.1629906579151976,37.54196688191475,42.10089026094233,treatmentfactcheck,2.5,***,3.308242067205299e-5
control,Hunter Biden's laptop had photos torturing children,25.089622641509493,1.1008802079423874,22.931897433942414,27.247347849076572,treatmentfactcheck,2.5,**,0.00998206654649248
control,Kamala Harris imprisoned prolife activists,46.96412213740457,1.3205547694813067,44.37583478922121,49.55240948558794,treatmentcontrol,1.5,***,1.234344615993321e-11
control,Kamala Harris imprisoned prolife activists,46.96412213740457,1.3205547694813067,44.37583478922121,49.55240948558794,treatmentfactcheck,2.5,***,9.578596934551632e-11
control,Biden and Obama plotted to have Seal Team 6 murdered,30.477215189873437,1.6530242601847758,27.237287639911276,33.717142739835595,treatmentcontrol,1.5,***,8.439031478814813e-4
control,Biden and Obama plotted to have Seal Team 6 murdered,30.477215189873437,1.6530242601847758,27.237287639911276,33.717142739835595,treatmentfactcheck,2.5,***,1.522847767943477e-7
control,Joe Biden has never made more than $400k,39.24108527131782,1.3385947168491568,36.617439626293475,41.86473091634217,treatmentcontrol,1.5,***,1.6441279278996134e-7
