term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,dv,fc,topic_short_2,lucid_pid_3,sig
Misinformation effect,-0.2046932543687139,1.631715204776973,0.12544667952437935,0.9001963650502844,-3.406858870733164,2.997472361995736,954,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate,Democrat,p >= .05
Correction effect,-2.966486672904263,1.6593842847566256,-1.7877032464118727,0.07414122441039887,-6.222951578929002,0.28997823312047544,954,w1_ft_joe_biden,w1_ft_joe_biden,1,Biden wears wire at debate,Democrat,p >= .05
Misinformation effect,-1.5973233590031974,1.5246630658301397,1.0476566231592264,0.2949842278331321,-4.5882876285924565,1.3936409105860614,1351,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks,Democrat,p >= .05
Correction effect,0.1439737271801954,1.5239849601969395,0.09447188190203017,0.924748326537375,-2.8456602880300053,3.1336077423903963,1351,w1_ft_donald_trump,w1_ft_donald_trump,1,Trump chose Judge Barrett on basis of looks,Democrat,p >= .05
Misinformation effect,0.13838038910016892,1.7099821185391713,-0.08092505038496342,0.9355137333693944,-3.2161757389064043,3.4929365171067426,1330,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks,Democrat,p >= .05
Correction effect,-0.6532567295688679,1.696530589245603,-0.385054495162007,0.7002586085834397,-3.98142433015543,2.674910871017695,1330,w1_ft_amy_coney_barrett,w1_ft_amy_coney_barrett,1,Trump chose Judge Barrett on basis of looks,Democrat,p >= .05
Misinformation effect,-1.545614498848748,2.1617508413485624,0.7149827210820231,0.4748336592749018,-5.789153023367004,2.6979240256695087,780,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists,Democrat,p >= .05
Correction effect,1.6451894742958957,2.2262137770520876,0.7390078577603747,0.4601245466826358,-2.724890437800035,6.015269386391827,780,w1_ft_kamala_harris,w1_ft_kamala_harris,1,Kamala Harris imprisoned prolife activists,Democrat,p >= .05
Misinformation effect,-6.168568541710156,2.403150169784225,2.5668676969379836,0.01043350507398741,-10.885420505487645,-1.4517165779326682,844,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid),Democrat,p <.05
Correction effect,0.6038506380430984,2.4051242522887897,0.25106837514463365,0.8018223572596592,-4.11687601282444,5.324577288910637,844,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (Lucid),Democrat,p >= .05
Misinformation effect,-0.6385518832952735,2.1865311109077163,0.29203878239362674,0.7703273234650536,-4.930106887823435,3.653003121232888,861,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk),Democrat,p >= .05
Correction effect,3.3743462451037622,2.2804510440539074,1.4796837028806642,0.13932345839479449,-1.1015475767903045,7.850240066997829,861,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk),Democrat,p >= .05
Misinformation effect,-2.6896910285392477,2.0275242138527383,1.3265888565780668,0.184960859534324,-6.668592413892831,1.2892103568143356,958,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down,Democrat,p >= .05
Correction effect,4.219658943128634,2.0438523984875268,2.064561485091207,0.03923319661093225,0.2087144206229592,8.230603465634308,958,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down,Democrat,p <.05
Misinformation effect,-3.0188901559414143,1.9338272684555768,1.5610960736697066,0.11886600569544882,-6.814420529872553,0.776640217989724,867,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges,Democrat,p >= .05
Correction effect,3.10216091832146,1.8899918945525072,1.6413620223783856,0.10108495852109964,-0.607333595108754,6.8116554317516735,867,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges,Democrat,p >= .05
Misinformation effect,0.6161856591268151,1.3793644316761997,-0.4467170857653826,0.6551514751457317,-2.0897612540813633,3.3221325723349935,1341,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent,Democrat,p >= .05
Correction effect,0.3748760495702312,1.3772664570249196,0.2721884698913047,0.7855190084842925,-2.326955194202625,3.076707293343087,1341,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent,Democrat,p >= .05
Misinformation effect,-1.3160712754820392,2.2396933034319573,0.5876122741740483,0.5569606977484522,-5.712533696093444,3.080391145129366,789,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered,Democrat,p >= .05
