paper_id,claim_id,table_figure,claim_type,claim,value_script,value_paper,match,value_rewrite,match_rewrite,holds,defect_locus,notes
coppock_etal_2023,app_duplicate_table_1,"Appendix, pp. 3 and 15",structural,Distinct floats captioned Table 1 in the appendix,NA,2,NA,NA,NA,NA,NA,No counterpart in the deposit or the rewrite.
coppock_etal_2023,app_fig1_rows,"Appendix Figure 1, p. 4",structural,Trait-by-tercile time estimates plotted in Appendix Figure 1,NA,36,NA,36,1,NA,NA,Published 36; rewrite 36; deposit not computed.
coppock_etal_2023,app_fig2_rows,"Appendix Figure 2, p. 5",structural,Trait-by-tercile-by-type time estimates plotted in Appendix Figure 2,NA,72,NA,72,1,NA,NA,Published 72; rewrite 72; deposit not computed.
coppock_etal_2023,app_fig3_series,"Appendix Figure 3, p. 7",structural,Fact check traffic series plotted in Appendix Figure 3,NA,21,NA,21,1,NA,NA,Published 21; rewrite 21; deposit not computed.
coppock_etal_2023,app_fig4_6_rows,"Appendix Figures 4 to 6, pp. 8 to 12",structural,Balance estimates plotted in Appendix Figures 4 to 6,NA,816,NA,816,1,NA,NA,Published 816; rewrite 816; deposit not computed.
coppock_etal_2023,app_fig7_rows,"Appendix Figure 7, p. 12",structural,Joint balance test p-values plotted in Appendix Figure 7,NA,48,NA,48,1,NA,NA,Published 48; rewrite 48; deposit not computed.
coppock_etal_2023,app_fig8_rows,"Appendix Figure 8, p. 14",structural,Attrition estimates plotted in Appendix Figure 8,NA,108,NA,108,1,NA,NA,Published 108; rewrite 108; deposit not computed.
coppock_etal_2023,app_fig9_rows,"Appendix Figure 9, p. 24",structural,Meta-analytic attitude estimates plotted in Appendix Figure 9,NA,12,NA,12,1,NA,NA,Published 12; rewrite 12; deposit not computed.
coppock_etal_2023,app_fig9_targets,"Appendix Figure 9, p. 24: ""accounting for the 22 different political figures and groups for whom we observed attitudinal outcomes""",definitional,Political figures and groups with attitudinal outcomes,NA,22,NA,14,0,NA,archive,"The deposited data carry fourteen feeling thermometer columns, not twenty-two."
coppock_etal_2023,app_reg_descending,"Appendix Tables 1 to 7, pp. 15 to 20",structural,Cells printing their confidence interval in descending order,NA,144,NA,0,0,NA,archive,"The deposit negates the misinformation contrast without reversing its interval, so those cells print their bounds high then low."
coppock_etal_2023,app_reg_stars,"Appendix Tables 1 to 7, pp. 15 to 20",pipeline,Cells carrying a significance marker across the seven regression tables,NA,205,NA,256,0,NA,archive,"The deposit's table script reshapes each fit with reshape2::melt, whose id.vars omit a character column, so every value becomes a string and the surviving significance test compares strings. Every p-value R prints in scientific notation loses its star."
coppock_etal_2023,app_reg_t1_cells,"Appendix Table 1 (regression tables), p. 15",pipeline,Cells in the Wave 1 average treatment effect table,100,100,1,100,1,NA,NA,Published 100; rewrite 100; deposit 100.
coppock_etal_2023,app_reg_t2_cells,"Appendix Table 2, p. 16",pipeline,Cells in the Wave 1 conditional effects table for Democrats,100,100,1,100,1,NA,NA,Published 100; rewrite 100; deposit 100.
coppock_etal_2023,app_reg_t3_cells,"Appendix Table 3, p. 17",pipeline,Cells in the Wave 1 conditional effects table for Republicans,100,100,1,100,1,NA,NA,Published 100; rewrite 100; deposit 100.
coppock_etal_2023,app_reg_t4_cells,"Appendix Table 4, p. 18",pipeline,Cells in the unadjusted persistence to Time 2 table,75,75,1,75,1,NA,NA,Published 75; rewrite 75; deposit 75.
coppock_etal_2023,app_reg_t5_cells,"Appendix Table 5, p. 19",pipeline,Cells in the adjusted persistence to Time 2 table,75,75,1,75,1,NA,NA,Published 75; rewrite 75; deposit 75.
coppock_etal_2023,app_reg_t6_cells,"Appendix Table 6, p. 20",pipeline,Cells in the unadjusted persistence to Time 3 table,21,21,1,21,1,NA,NA,Published 21; rewrite 21; deposit 21.
coppock_etal_2023,app_reg_t7_cells,"Appendix Table 7, p. 20",pipeline,Cells in the adjusted persistence to Time 3 table,21,21,1,7,0,NA,archive,As fig4_three_wave_flat.
coppock_etal_2023,app_t1_date_cells,"Appendix Table 1, p. 3",structural,Fielding date cells printed in Appendix Table 1,NA,16,NA,16,1,NA,NA,Published 16; rewrite 16; deposit not computed.
coppock_etal_2023,app_t1_n_panel_1_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 1 (Lucid),2321,2321,1,2321,1,NA,NA,Published 2321; rewrite 2321; deposit 2321.
coppock_etal_2023,app_t1_n_panel_1_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 1 (MTurk),2090,2090,1,2090,1,NA,NA,Published 2090; rewrite 2090; deposit 2090.
coppock_etal_2023,app_t1_n_panel_2_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 2 (MTurk),2059,2059,1,2059,1,NA,NA,Published 2059; rewrite 2059; deposit 2059.
coppock_etal_2023,app_t1_n_panel_3_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 3 (Lucid),2390,2390,1,2390,1,NA,NA,Published 2390; rewrite 2390; deposit 2390.
coppock_etal_2023,app_t1_n_panel_4_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 4 (MTurk),2582,2582,1,2582,1,NA,NA,Published 2582; rewrite 2582; deposit 2582.
coppock_etal_2023,app_t1_n_panel_5_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 5 (Lucid),2200,2200,1,2200,1,NA,NA,Published 2200; rewrite 2200; deposit 2200.
coppock_etal_2023,app_t1_n_panel_6_mturk,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 6 (MTurk),1599,1599,1,1599,1,NA,NA,Published 1599; rewrite 1599; deposit 1599.
coppock_etal_2023,app_t1_n_panel_7_lucid,"Appendix Table 1, p. 3",pipeline,Appendix Table 1 respondents: Panel 7 (Lucid),2388,2388,1,2388,1,NA,NA,Published 2388; rewrite 2388; deposit 2388.
coppock_etal_2023,app_t1_percentage_cells,"Appendix Table 1, p. 3",pipeline,Percentage cells printed in Appendix Table 1,NA,188,NA,188,1,NA,NA,Published 188; rewrite 188; deposit not computed.
