topic_short,panel_factor,ctrl_estimate,ctrl_std.error,ctrl_p.value,ctrl_conf.low,ctrl_conf.high,chk_estimate,chk_std.error,chk_p.value,chk_conf.low,chk_conf.high,covariates
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),12.970023219515015,2.006983442979233,1.2762888973322378e-10,9.034144865198195,16.905901573831834,-10.87973134159961,2.097761300543878,2.3499058259849655e-7,-14.993633389081314,-6.765829294117906,no
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),12.444653001023529,1.843014726972452,1.8793626817519676e-11,8.830315387113018,16.05899061493404,-11.27437094793388,1.9350978643040715,6.5494830116184405e-9,-15.06929287405512,-7.479449021812642,yes
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),4.628021219906615,1.8907872556766008,0.01445900839312587,0.9200283257037514,8.336014114109478,-14.401784660766872,2.010768090502864,1.0894752673379956e-12,-18.345070066933022,-10.458499254600726,no
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),3.075807070866215,1.8041088707058883,0.0883627169246345,-0.4622185706934752,6.613832712425905,-12.390941924983354,1.8845107963035816,6.113463658182394e-11,-16.086643236240356,-8.695240613726352,yes
Wisconsin has more votes than registered voters,Panel 7 (Lucid),7.905523830186238,2.0285293651917384,1.0035121588612396e-4,3.9274027701266343,11.88364489024584,-12.735420306975485,2.0676326419261812,8.714138400891102e-10,-16.790226265643852,-8.680614348307119,no
Wisconsin has more votes than registered voters,Panel 7 (Lucid),8.064020940374647,1.8271250899936704,1.0687008075656705e-5,4.480854411716882,11.647187469032412,-12.023257633282338,1.9249062219992616,5.078380575904719e-10,-15.798182285812134,-8.248332980752542,yes
Presidential winner must be announced election night,Panel 6 (MTurk),-2.7994921744921797,3.397463089671046,0.41018805607808895,-9.468487099289836,3.869502750305477,-7.018996354522659,3.406053620342585,0.03965046485211662,-13.704853921809056,-0.3331387872362619,no
Presidential winner must be announced election night,Panel 6 (MTurk),-1.842954949341748,2.766153580323842,0.5054461297239801,-7.272899042188755,3.586989143505259,-4.708116824233369,2.713093659315573,0.08307505279230877,-10.033904587260087,0.6176709387933492,yes
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),-8.939597041709716,2.9613872856963273,0.00261885412374677,-14.752582094029613,-3.1266119893898185,0.44462960971937393,3.2015417496568572,0.889579965589345,-5.839760961221235,6.729020180659982,no
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),-5.929696229322255,2.4396107807693164,0.01529694954211468,-10.718619782346153,-1.140772676298358,-3.368643423820221,2.5954656532527847,0.1947039562795827,-8.463508021035706,1.7262211733952633,yes
Trump said 'Good' to children's separation,Panel 6 (MTurk),-4.299529548936418,3.045825198962935,0.15845148048631905,-10.278260003770416,1.679200905897579,-21.81189528452374,3.1928918464302956,1.662701407816644e-11,-28.079306732739376,-15.544483836308103,no
Trump said 'Good' to children's separation,Panel 6 (MTurk),-2.227507417470751,2.748243166031005,0.4178864236360027,-7.622272242658385,3.167257407716882,-20.269288601744485,2.929392214184234,9.41995082083089e-12,-26.01964660193657,-14.518930601552398,yes
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),6.968491880833646,2.084312355677213,8.439031478814813e-4,2.880717542787429,11.056266218879864,-9.465818027711284,1.7963354191135985,1.522847767943477e-7,-12.988809103773033,-5.942826951649535,no
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),6.650292680189524,1.8960521421467136,4.630204792076701e-4,2.9317148779646263,10.36887048241442,-10.190634901828538,1.55613037451585,7.460022183954315e-11,-13.24255090108527,-7.1387189025718065,yes
Joe Biden has never made more than $400k,Panel 5 (Lucid),10.654244841403605,2.0273894776113224,1.6441279278996134e-7,6.678117478473663,14.630372204333543,-17.094867863106504,2.0958694128678736,6.1778605867397535e-16,-21.205298450647263,-12.984437275565746,no
Joe Biden has never made more than $400k,Panel 5 (Lucid),10.152140084279107,1.9280587341544997,1.5571294458561338e-7,6.3707992330283965,13.933480935529818,-16.66582656651973,1.993494103014036,1.1967021762258363e-16,-20.5755003513072,-12.756152781732258,yes
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),13.410015793629873,1.9668013355832543,1.234344615993321e-11,9.55269879569365,17.267332791566094,-13.563509188519449,2.0834308991717045,9.578596934551632e-11,-17.649561641304345,-9.477456735734552,no
