topic_short,panel_factor,lucid_pid_3,ctrl_estimate,ctrl_std.error,ctrl_p.value,ctrl_conf.low,ctrl_conf.high,chk_estimate,chk_std.error,chk_p.value,chk_conf.low,chk_conf.high,covariates
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Democrat,10.423776063262702,2.6772763709473475,1.0490564253092626e-4,5.170518088761952,15.677034037763452,-9.789746742262883,2.8729234847357055,6.795757359757526e-4,-15.426896634628308,-4.1525968498974635,no
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Democrat,7.780567586865185,2.5629222695729927,0.00245724270260641,2.751606224805407,12.809528948924964,-8.279198732781522,2.710354929822607,0.00230932559103099,-13.597452189534646,-2.960945276028397,yes
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Democrat,4.13937511763597,2.661945751196197,0.12023461600533222,-1.083796220501605,9.362546455773543,-14.729268793365344,2.81777629760894,2.0643265959685445e-7,-20.25820505675115,-9.200332529979535,no
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Democrat,3.607990639870345,2.552138273617668,0.15773873897607446,-1.3998050202181958,8.615786299958886,-13.86375525172958,2.708884913224048,3.6645369026895106e-7,-19.179118550166184,-8.548391953292974,yes
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Democrat,11.333051643192425,2.6506522114336963,2.0756968145758775e-5,6.1320183783809625,16.534084908003884,-8.727086914995219,2.805175003678588,0.00191321202294373,-14.231320342834682,-3.2228534871557564,no
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Democrat,9.555168563133174,2.472151358269715,1.1778059958250908e-4,4.704302066919475,14.406035059346872,-7.579287762138923,2.64060111430145,0.00418248936846045,-12.760687126049538,-2.3978883982283072,yes
Presidential winner must be announced election night,Panel 6 (MTurk),Democrat,-2.7280525846702366,4.444182518024771,0.5396673395965039,-11.465126217221336,6.0090210478808634,-5.677250445632796,4.301558969899178,0.1876582295459445,-14.133932254343405,2.77943136307781,no
Presidential winner must be announced election night,Panel 6 (MTurk),Democrat,-4.58971371870362,3.9410464547836654,0.24491260338780427,-12.338638307649642,3.1592108702424015,-3.6819220499891294,3.569698819678918,0.3029898893008377,-10.700699239323214,3.336855139344956,yes
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Democrat,-6.009056732740948,3.695174319890744,0.10470065164802722,-13.273556322684374,1.2554428572024785,-5.632547277284121,4.020741075817012,0.16203126976931842,-13.537092331982649,2.2719977774144064,no
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Democrat,-3.092115468501492,3.275637544192705,0.3457797706825605,-9.53265273861196,3.348421801608976,-8.674490959198556,3.513914661380953,0.01400075864018669,-15.583527149950015,-1.7654547684470954,yes
