congeniality,lucid_pid_3,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,term,topic_short_2,type,pg,lab,fc,panel,panel_factor,df,outcome
"False claim
congenial to
Republicans",Democrat,treatmentcontrol,2.7016772123160164,1.7100603614522027,1.5798724262702173,0.11413608502896515,-0.6499795075198467,6.0533339321518795,treatmentcontrol,Overall,Misinformation effect,insig,2.7,NA,NA,NA,NA,NA
"False claim
congenial to
Republicans",Democrat,treatmentfactcheck,-7.858952003326418,0.8342772566683809,-9.420072212816288,4.507778970594293e-21,-9.494105379517322,-6.223798627135513,treatmentfactcheck,Overall,Correction effect,sig,-7.9,NA,NA,NA,NA,NA
"False claim
congenial to
Republicans",Republican,treatmentcontrol,5.832549420350772,1.7088739212215847,3.413095224825824,6.422949481702472e-4,2.4832180806367297,9.181880760064814,treatmentcontrol,Overall,Misinformation effect,sig,5.8,NA,NA,NA,NA,NA
"False claim
congenial to
Republicans",Republican,treatmentfactcheck,-9.264014572848717,1.616978090908684,-5.729214653516221,1.008966552004082e-8,-12.43323339482007,-6.094795750877365,treatmentfactcheck,Overall,Correction effect,sig,-9.3,NA,NA,NA,NA,NA
"False claim
congenial to
Democrats",Democrat,treatmentcontrol,7.489072710578058,1.6900331868570366,4.431316952127742,9.365930112076584e-6,4.176668531660816,10.8014768894953,treatmentcontrol,Overall,Misinformation effect,sig,7.5,NA,NA,NA,NA,NA
"False claim
congenial to
Democrats",Democrat,treatmentfactcheck,-17.98322211285552,2.890831720230067,-6.22077791211739,4.946959810501013e-10,-23.64914816987242,-12.317296055838618,treatmentfactcheck,Overall,Correction effect,sig,-18,NA,NA,NA,NA,NA
"False claim
congenial to
Democrats",Republican,treatmentcontrol,1.0858632027015782,1.4911839294930025,0.7281886434162204,0.466498116781382,-1.836803593429621,4.008529998832778,treatmentcontrol,Overall,Misinformation effect,insig,1.1,NA,NA,NA,NA,NA
"False claim
congenial to
Democrats",Republican,treatmentfactcheck,-7.771460820170119,1.7651442391150867,-4.40273414940082,1.0689512238625208e-5,-11.231079956354044,-4.311841683986193,treatmentfactcheck,Overall,Correction effect,sig,-7.8,NA,NA,NA,NA,NA
"False claim
congenial to
Democrats",Democrat,NA,13.587954538480316,2.830728664874079,-4.800161423837759,1.8599181327430045e-6,8.03224738879495,19.14366168816568,treatmentcontrol,A black man invented the light bulb (Lucid),Misinformation effect,sig,13.6,1,panel_1_lucid,Panel 1 (Lucid),887,outcome_w1
"False claim
congenial to
Democrats",Democrat,NA,-6.6421005822933505,2.8942987455734404,-2.294891151942011,0.02197208121752858,-12.322573046376393,-0.961628118210311,treatmentfactcheck,A black man invented the light bulb (Lucid),Correction effect,sig,-6.6,1,panel_1_lucid,Panel 1 (Lucid),887,outcome_w1
"False claim
congenial to
Democrats",Republican,NA,4.557090844575959,2.7064208790954556,-1.6838071564460575,0.0925944988965934,-0.7551337496154513,9.86931543876737,treatmentcontrol,A black man invented the light bulb (Lucid),Misinformation effect,insig,4.6,1,panel_1_lucid,Panel 1 (Lucid),831,outcome_w1
