topic_short,panel_factor,lucid_pid_3,ctrl_estimate,ctrl_std.error,ctrl_p.value,ctrl_conf.low,ctrl_conf.high,chk_estimate,chk_std.error,chk_p.value,chk_conf.low,chk_conf.high,covariates
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Republican,16.545658825779253,3.005521797247076,5.0389890786053895e-8,10.645609688263796,22.44570796329471,-14.762751917246248,3.0664633104207017,1.7808472146813267e-6,-20.782433500138836,-8.743070334353659,no
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Republican,17.403043091249486,3.0011060734800123,9.847538674784383e-9,11.51145015088662,23.294636031612352,-14.806630034662172,3.0639735811265356,1.636507567450665e-6,-20.821640726733815,-8.79161934259053,yes
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Republican,7.027575596189136,3.0342888241657837,0.02081643641323026,1.071140358910763,12.984010833467508,-14.896397628818995,3.2611378307350014,5.734034740029048e-6,-21.29814690657668,-8.494648351061315,no
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Republican,4.3767735892201864,2.938541293701453,0.13678979665886903,-1.3919092163331763,10.14545639477355,-11.856969002396353,3.054433663595577,1.1271694841957754e-4,-17.853161396784163,-5.860776608008542,yes
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Republican,5.186556355337073,3.0129501871971662,0.08557451555395602,-0.727978235264712,11.101090945938855,-20.60530663290516,3.185753026680109,1.760908814845256e-10,-26.85905969974297,-14.35155356606735,no
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Republican,5.162882349746066,2.9729589462499613,0.08286265688594735,-0.6733537337391766,10.999118433231308,-19.71250457043457,3.126436326550198,4.894626766302278e-10,-25.850033151092333,-13.57497598977681,yes
Presidential winner must be announced election night,Panel 6 (MTurk),Republican,-2.570495412844037,5.019013586726993,0.6088745756554191,-12.44241472542231,7.301423899734235,-6.11889744429882,5.314472026919861,0.25038402116205827,-16.571955227894122,4.334160339296481,no
Presidential winner must be announced election night,Panel 6 (MTurk),Republican,-1.3102775159548457,3.9697798000200057,0.7415636923159492,-9.11980739889512,6.499252366985429,-3.128966344785294,4.267632170007325,0.46397052831780505,-11.524444844852605,5.266512155282015,yes
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Republican,-6.59996689837803,4.517607898301147,0.1449438927159533,-15.485577755810093,2.285643959054031,-1.9711409894517864,4.843623593070544,0.684293502681189,-11.49798691250908,7.555704933605508,no
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Republican,-6.099242130367741,4.065867795545138,0.13454826627680055,-14.097710067890796,1.8992258071553128,-2.923790034797206,4.001495440790943,0.4654996860413554,-10.795623206642825,4.948043137048412,yes
