topic_short,panel_factor,wave,covariates,Average Effect of Correction versus Control
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w1,yes,"-3.91 (3.75) [-11.29, 3.46]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),w2,yes,"-4.85 (3.80) [-12.31, 2.62]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),ratio,yes,"1.24 (1.06) [-0.85, 3.32]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w1,yes,"-8.92 (3.88)* [-16.55, -1.28]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),w2,yes,"0.71 (3.82) [-6.79, 8.22]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),ratio,yes,"-0.08 (0.44) [-0.95, 0.79]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w1,yes,"-3.49 (3.82) [-10.99, 4.02]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),w2,yes,"1.30 (3.70) [-5.97, 8.58]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),ratio,yes,"-0.37 (1.34) [-3.01, 2.26]"
Presidential winner must be announced election night,Panel 6 (MTurk),w1,yes,"-8.50 (3.46)* [-15.31, -1.70]"
Presidential winner must be announced election night,Panel 6 (MTurk),w2,yes,"-4.59 (3.23) [-10.95, 1.77]"
Presidential winner must be announced election night,Panel 6 (MTurk),ratio,yes,"0.54 (0.33) [-0.12, 1.20]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w1,yes,"-9.11 (3.06)* [-15.13, -3.09]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w2,yes,"-1.68 (2.95) [-7.49, 4.13]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),ratio,yes,"0.18 (0.29) [-0.39, 0.76]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w1,yes,"-23.53 (3.27)* [-29.96, -17.10]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w2,yes,"-22.79 (3.42)* [-29.53, -16.06]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),ratio,yes,"0.97 (0.11)* [0.75, 1.19]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),w1,yes,"-7.18 (3.69) [-14.43, 0.08]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),w2,yes,"-1.68 (3.95) [-9.45, 6.09]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),ratio,yes,"0.23 (0.50) [-0.76, 1.22]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),w1,yes,"-2.62 (3.62) [-9.74, 4.51]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),w2,yes,"-2.33 (3.80) [-9.81, 5.14]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),ratio,yes,"0.89 (1.57) [-2.19, 3.97]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),w1,yes,"3.90 (3.55) [-3.08, 10.87]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),w2,yes,"1.11 (3.66) [-6.08, 8.30]"
