entry,class,source,form,title,location,published,corrected,note,claim_ids
1,quantity,pipeline,full,The reported total sample size,"published, introduction","To study fact-checking during the 2020 election season, we conducted eight preregistered panel experiments (total [[N = 17,681]]).","To study fact-checking during the 2020 election season, we conducted eight preregistered panel experiments (total [[N = 17,629]]).","The article's own appendix Table 1 reports the eight panel sizes as 2,321, 2,090, 2,059, 2,390, 2,582, 2,200, 1,599 and 2,388, which sum to 17,629, and the deposited respondent data hold exactly that many.",art_intro_total_n
2,quantity,pipeline,full,The count of experiments in which misinformation reduced accuracy,"published, results","Overall, exposure to the misinformation significantly decreased accuracy in [[twelve]] out of the twenty-four opportunities.","Overall, exposure to the misinformation significantly decreased accuracy in [[thirteen]] out of the twenty-four opportunities.","Appendix Table 1 prints all thirteen in its unadjusted rows, and the deposited estimates and the reproduction agree on every one of them.",res_misinfo_sig_count
3,float,pipeline,full,Two appendix floats carry the same number,"published, appendix","[[Table 1:]] Sample composition by panel.

[[Table 1:]] Average treatment effects at Wave 1 among all subjects.","the sample composition table on appendix page 3 and the Wave 1 average treatment effect table on appendix page 15 are two different floats, and both are captioned [[Table 1]]. The regression tables that follow are numbered 1 through 7 and the two tables of appendix section 7 are numbered 8 and 9, so the appendix's table numbering runs 1, 1, 2, 3, 4, 5, 6, 7, 8, 9. A reader citing ""appendix Table 1"" cannot be understood.",,app_duplicate_table_1
4,quantity,pipeline,full,The claim that fact-check effects remain detectable after more than two weeks,"published, main text, four passages","We show that [[66 per cent]] of the initial effect of fact-checks on factual beliefs is still detectable one week after initial [[exposure, with 50 percent detectable after more than two weeks]].

The effects of fact-checks observed immediately after treatment dissipate somewhat from Wave 1 to Wave 2, on average, at [[66.4 per cent]] of the initial magnitude.

On average, the effect in Wave 3 is [[50 per cent]] the magnitude of the original effect, though the smaller number of issues and subjects increases our uncertainty.

Over time, the effects [[attenuate, but they remain detectable. The effects of fact-checks persisted at 66 per cent the original magnitude after one week and at 50 per cent after more than two weeks]].","We show that [[48.9 per cent]] of the initial effect of fact-checks on factual beliefs is still detectable one week after initial [[exposure. More than two weeks after exposure the estimate is 34.3 per cent, which this study cannot distinguish from zero]].

The effects of fact-checks observed immediately after treatment dissipate somewhat from Wave 1 to Wave 2, on average, at [[48.9 per cent]] of the initial magnitude.

On average, the effect in Wave 3 is [[34.3 per cent the magnitude of the original effect, though neither that share nor the pooled Wave 3 effect itself is distinguishable from zero, and only one of the six issues has a Wave 3 effect that is]].

Over time, the effects [[attenuate. They remain detectable one week after exposure, at 48.9 per cent of the original magnitude. The Wave 3 estimate, more than two weeks after exposure, is 34.3 per cent of the original magnitude and is not distinguishable from zero]].","THIS ENTRY CHANGES A CONCLUSION OF THE ARTICLE, and it is the only one that does. The article reports that the effects of fact-checks remain detectable more than two weeks after exposure. They do not, in these data. The pooled Wave 3 effect is -4.36 (3.67) [-11.55, 2.82] and the share of the Wave 1 effect it represents is 0.34 (0.21) [-0.07, 0.76]; neither is distinguishable from zero. The one-week claim is unaffected and stands.

The magnitude and the detection claim have the same cause, which is entry 18. The deposited three-wave models fitted with covariates regress the wrong outcomes, so the ratio behind appendix Table 7's 0.43 instruments the Wave 2 outcome rather than the Wave 3 outcome. That cell carried a significance marker and its interval excluded zero, and it was the only statistical support anywhere in the article for the two-week claim; the unadjusted table beside it already reported 0.39 with an interval spanning zero, and the two published tables therefore disagreed with each other. Refitted on Wave 3, the random-effects pool is 34.3 per cent with covariates and 38.9 per cent without them, and neither is significant.

The per-issue pattern is what makes the corrected sentence unsupportable rather than merely imprecise. Of the six issues fielded across three waves, five had a Wave 1 effect distinguishable from zero and one still has one at Wave 3: ""Trump said 'Good' to children's separation"", whose effect barely decays at all. The pooled 34.3 per cent is an average over that one issue and five nulls, two of which are wrong-signed. What these data support is that one correction survived more than two weeks intact and the rest did not.",art_intro_persist_w2;art_intro_persist_w3;res_persist_w2_precise;res_persist_w3_precise;disc_persist_w2;disc_persist_w3
5,bibliographic,reference_audit,brief,Rathje et al. (2022) is printed with one author,published p. 1341,[[Rathje S]] (2022) Letter to the Editors of Psychological Science: Meta-analysis Reveals that Accuracy Nudges Have Little to No Effect for U.S. Conservatives: Regarding Pennycook et al.,Rathje S et al. (2022) Letter to the Editors of Psychological Science: Meta-analysis Reveals that Accuracy Nudges Have Little to No Effect for U.S. Conservatives: Regarding Pennycook et al.,"Crossref, doi 10.31234/osf.io/945na: Rathje, Roozenbeek, Traberg, Van Bavel and van der Linden. Four coauthors are missing from the entry, which the reference list's own style would give as ""Rathje S et al."" The in-text citation on p. 1330 reads ""Rathje et al. 2022"", so the body of the article has it right.",
6,bibliographic,reference_audit,brief,Pennycook and Rand (2019) is printed with the wrong initial,published p. 1340,"[[Pennycook D]] and Rand DG (2019) Lazy, not biased","Pennycook G and Rand DG (2019) Lazy, not biased","Crossref, doi 10.1016/j.cognition.2018.06.011: Gordon Pennycook and David G. Rand. The same author is given correctly as ""Pennycook G"" in the 2021 Nature entry two lines below, and footnote 2 of the article cites ""Pennycook and Rand 2019"", so only the initial in this entry is wrong. It appears to have been copied from Rand's.",
7,bibliographic,reference_audit,full,Do Facts Matter? is cited with its authors in the wrong order,published pp. 1328 and 1340,"Belief in falsehoods may shape political attitudes and behavior in ways that damage democratic accountability ([[Einstein and Hochschild]] 2015; Nyhan 2020)

[[Einstein KL and Hochschild J]] (2015) Do Facts Matter? Information and Misinformation in American Politics. Norman, OK: University of Oklahoma Press.","Belief in falsehoods may shape political attitudes and behavior in ways that damage democratic accountability ([[Hochschild and Einstein]] 2015; Nyhan 2020)

[[Hochschild JL and Einstein KL]] (2015) Do Facts Matter? Information and Misinformation in American Politics. Norman, OK: University of Oklahoma Press.","Library of Congress, LCCN 2014027612: ""Do facts matter? : information and misinformation in American politics / Jennifer L. Hochschild and Katherine Levine Einstein"", Norman: University of Oklahoma Press, 2015. Hochschild is the book's first author. The publisher and the city are as the entry gives them. The entry keeps the place the published list gave it, under E, because moving an entry is a re-presentation of the list rather than a correction to it; a reader looking for it will find it where the article filed it.",
8,bibliographic,reference_audit,full,Swire-Thompson is cited under her earlier surname in a 2020 entry,published pp. 1331 and 1341,"The use of multiple outcome measures helps mitigate concerns about measurement error ([[Swire, DeGutis, and Lazer]] 2020)

[[Swire B, DeGutis J and Lazer D]] (2020) Searching for the Backfire Effect","The use of multiple outcome measures helps mitigate concerns about measurement error ([[Swire-Thompson, DeGutis, and Lazer]] 2020)

[[Swire-Thompson B, DeGutis J and Lazer D]] (2020) Searching for the Backfire Effect","Crossref, doi 10.31234/osf.io/ba2kc, and the published version at doi 10.1016/j.jarmac.2020.06.006, both give Briony Swire-Thompson. The 2017 Royal Society Open Science entry above it is correct as ""Swire B"": the name changed between the two papers. As with entry 7, the entry keeps its published place in the list.",
9,bibliographic,reference_audit,brief,Porter and Wood (2022) is given the title of its preprint,published p. 1341,"Porter E and Wood TJ (2022) [[Misinformation on the Facebook news feed: experimental evidence]]. Journal of Politics 84, 1812-1817.","Porter E and Wood TJ (2022) Political misinformation and factual corrections on the Facebook news feed: experimental evidence. Journal of Politics 84, 1812-1817.","Crossref, doi 10.1086/719271: ""Political Misinformation and Factual Corrections on the Facebook News Feed: Experimental Evidence"", The Journal of Politics 84(3), 1812-1817. The volume and the page range are the version of record's; the title is the OSF preprint's, which the entry also links. The two are different documents and the entry mixes them.",
10,bibliographic,reference_audit,brief,Nyhan (2020) is given a month where its issue number belongs,published p. 1340,"Nyhan B (2020) Facts and myths about misperceptions. Journal of Economic Perspectives [[34(August)]], 220-236.","Nyhan B (2020) Facts and myths about misperceptions. Journal of Economic Perspectives 34(3), 220-236.","Crossref, doi 10.1257/jep.34.3.220: Journal of Economic Perspectives 34(3), 220-236. The doi the entry itself prints encodes the issue as 3. Every other entry in the list that gives an issue gives a numeral.",
