topic_short,panel_factor,lucid_pid_3,covariates,Average Effect of Misinformation versus Control,Average Effect of Correction versus Misinformation
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Republican,no,"16.55 (3.01)* [10.65, 22.45]","-14.76 (3.07)* [-20.78, -8.74]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Republican,yes,"17.40 (3.00)* [11.51, 23.29]","-14.81 (3.06)* [-20.82, -8.79]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Republican,no,"7.03 (3.03)* [1.07, 12.98]","-14.90 (3.26)* [-21.30, -8.49]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Republican,yes,"4.38 (2.94) [-1.39, 10.15]","-11.86 (3.05)* [-17.85, -5.86]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Republican,no,"5.19 (3.01) [-0.73, 11.10]","-20.61 (3.19)* [-26.86, -14.35]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Republican,yes,"5.16 (2.97) [-0.67, 11.00]","-19.71 (3.13)* [-25.85, -13.57]"
Presidential winner must be announced election night,Panel 6 (MTurk),Republican,no,"-2.57 (5.02) [-12.44, 7.30]","-6.12 (5.31) [-16.57, 4.33]"
Presidential winner must be announced election night,Panel 6 (MTurk),Republican,yes,"-1.31 (3.97) [-9.12, 6.50]","-3.13 (4.27) [-11.52, 5.27]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Republican,no,"-6.60 (4.52) [-15.49, 2.29]","-1.97 (4.84) [-11.50, 7.56]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Republican,yes,"-6.10 (4.07) [-14.10, 1.90]","-2.92 (4.00) [-10.80, 4.95]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),Republican,no,"-15.72 (4.77)* [-25.09, -6.34]","-5.61 (5.38) [-16.19, 4.97]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),Republican,yes,"-10.25 (3.72)* [-17.56, -2.94]","-4.98 (4.21) [-13.26, 3.31]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Republican,no,"11.13 (3.48)* [4.29, 17.96]","-11.81 (2.79)* [-17.28, -6.34]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Republican,yes,"14.59 (3.17)* [8.37, 20.82]","-13.72 (2.56)* [-18.74, -8.71]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),Republican,no,"2.78 (3.11) [-3.32, 8.88]","-10.87 (3.21)* [-17.17, -4.58]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),Republican,yes,"2.68 (2.82) [-2.87, 8.22]","-10.06 (2.92)* [-15.80, -4.33]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Republican,no,"12.27 (2.75)* [6.87, 17.66]","-10.73 (2.87)* [-16.36, -5.10]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Republican,yes,"12.45 (2.70)* [7.14, 17.75]","-10.94 (2.82)* [-16.49, -5.40]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Republican,no,"3.63 (3.10) [-2.45, 9.71]","-6.88 (3.06)* [-12.89, -0.87]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Republican,yes,"3.68 (2.55) [-1.32, 8.67]","-4.53 (2.48) [-9.39, 0.33]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Republican,no,"9.32 (3.13)* [3.19, 15.46]","-17.12 (3.04)* [-23.08, -11.15]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Republican,yes,"8.41 (2.58)* [3.34, 13.48]","-16.11 (2.61)* [-21.24, -10.99]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),Republican,no,"-1.19 (2.92) [-6.92, 4.54]","-6.56 (3.22)* [-12.89, -0.24]"
