topic_short,panel_factor,wave,covariates,Average Effect of Correction versus Control
Presidential winner must be announced election night,Panel 6 (MTurk),w1,no,"-10.59 (4.33)* [-19.11, -2.07]"
Presidential winner must be announced election night,Panel 6 (MTurk),w3,no,"3.93 (4.45) [-4.83, 12.70]"
Presidential winner must be announced election night,Panel 6 (MTurk),ratio,no,"-0.37 (0.53) [-1.42, 0.68]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w1,no,"-10.74 (4.04)* [-18.68, -2.80]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),w3,no,"-0.64 (4.16) [-8.84, 7.55]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),ratio,no,"0.06 (0.37) [-0.68, 0.80]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w1,no,"-29.16 (3.85)* [-36.73, -21.59]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),w3,no,"-27.59 (4.05)* [-35.56, -19.63]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),ratio,no,"0.95 (0.11)* [0.74, 1.16]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w1,no,"-1.17 (2.16) [-5.41, 3.08]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),w3,no,"-1.99 (2.25) [-6.41, 2.44]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),ratio,no,"1.70 (2.16) [-2.53, 5.94]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w1,no,"-6.66 (2.37)* [-11.32, -2.00]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),w3,no,"-2.02 (2.48) [-6.89, 2.85]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),ratio,no,"0.30 (0.30) [-0.29, 0.90]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w1,no,"-15.26 (2.33)* [-19.84, -10.68]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),w3,no,"-4.51 (2.52) [-9.47, 0.44]"
WHO: children to be vaccinated without parents' consent,Panel 4 (MTurk),ratio,no,"0.30 (0.14)* [0.02, 0.57]"
Meta-analysis,Meta-analysis,w1,no,"-12.02 (3.87)* [-19.62, -4.43]"
Meta-analysis,Meta-analysis,w3,no,"-5.40 (4.38) [-13.99, 3.20]"
Meta-analysis,Meta-analysis,ratio,no,"0.39 (0.21) [-0.02, 0.80]"
