topic_short,panel_factor,lucid_pid_3,covariates,Average Effect of Misinformation versus Control,Average Effect of Correction versus Misinformation
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Democrat,no,"10.42 (2.68)* [5.17, 15.68]","-9.79 (2.87)* [-15.43, -4.15]"
GOP voters' pens invisible to voting machines,Panel 7 (Lucid),Democrat,yes,"7.78 (2.56)* [2.75, 12.81]","-8.28 (2.71)* [-13.60, -2.96]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Democrat,no,"4.14 (2.66) [-1.08, 9.36]","-14.73 (2.82)* [-20.26, -9.20]"
USPS fails to deliver 27% of mail ballots in South FL,Panel 7 (Lucid),Democrat,yes,"3.61 (2.55) [-1.40, 8.62]","-13.86 (2.71)* [-19.18, -8.55]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Democrat,no,"11.33 (2.65)* [6.13, 16.53]","-8.73 (2.81)* [-14.23, -3.22]"
Wisconsin has more votes than registered voters,Panel 7 (Lucid),Democrat,yes,"9.56 (2.47)* [4.70, 14.41]","-7.58 (2.64)* [-12.76, -2.40]"
Presidential winner must be announced election night,Panel 6 (MTurk),Democrat,no,"-2.73 (4.44) [-11.47, 6.01]","-5.68 (4.30) [-14.13, 2.78]"
Presidential winner must be announced election night,Panel 6 (MTurk),Democrat,yes,"-4.59 (3.94) [-12.34, 3.16]","-3.68 (3.57) [-10.70, 3.34]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Democrat,no,"-6.01 (3.70) [-13.27, 1.26]","-5.63 (4.02) [-13.54, 2.27]"
Sen Coon's daughter's photo on Hunter Biden's laptop,Panel 6 (MTurk),Democrat,yes,"-3.09 (3.28) [-9.53, 3.35]","-8.67 (3.51)* [-15.58, -1.77]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),Democrat,no,"6.71 (4.25) [-1.65, 15.07]","-36.36 (4.11)* [-44.44, -28.28]"
Trump said 'Good' to children's separation,Panel 6 (MTurk),Democrat,yes,"5.71 (4.20) [-2.54, 13.96]","-34.18 (4.13)* [-42.29, -26.06]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Democrat,no,"0.21 (2.81) [-5.30, 5.72]","-8.20 (2.24)* [-12.59, -3.81]"
Biden and Obama plotted to have Seal Team 6 murdered,Panel 5 (Lucid),Democrat,yes,"-0.22 (2.67) [-5.46, 5.02]","-8.16 (2.09)* [-12.27, -4.05]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),Democrat,no,"17.19 (2.97)* [11.37, 23.02]","-24.08 (3.05)* [-30.07, -18.09]"
Joe Biden has never made more than $400k,Panel 5 (Lucid),Democrat,yes,"18.02 (3.04)* [12.06, 23.98]","-24.34 (3.04)* [-30.31, -18.37]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Democrat,no,"18.09 (2.86)* [12.48, 23.70]","-16.67 (3.10)* [-22.76, -10.58]"
Kamala Harris imprisoned prolife activists,Panel 5 (Lucid),Democrat,yes,"17.81 (2.78)* [12.35, 23.28]","-16.00 (3.04)* [-21.98, -10.03]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Democrat,no,"3.47 (1.84) [-0.13, 7.08]","-4.21 (1.92)* [-7.98, -0.44]"
Hunter Biden's laptop had photos torturing children,Panel 4 (MTurk),Democrat,yes,"3.06 (1.60) [-0.08, 6.19]","-4.17 (1.65)* [-7.42, -0.93]"
Trump chose Judge Barrett on basis of looks,Panel 4 (MTurk),Democrat,no,"9.66 (2.29)* [5.17, 14.16]","-23.64 (2.20)* [-27.95, -19.33]"
